"","variables","D.stat"
"1","e.3medianamount_merchnum",0.243067878079742
"2","e.3medianamount_cardnum",0.242731936886525
"3","e.3meanamount_cardnum",0.23974596469388
"4","e.1medianamount_cardnum",0.239692123955421
"5","e.3meanamount_merchnum",0.239676702117778
"6","e.7meanamount_merchnum",0.236049431626817
"7","e.1meanamount_cardnum",0.230727399114043
"8","e.1medianamount_merchnum",0.229436035550793
"9","e.1meanamount_merchnum",0.228840224003903
"10","e.7medianamount_merchnum",0.224197601905426
"11","e.1medianamount_zip3",0.214792711623011
"12","e.7meanamount_cardnum",0.208120094274508
"13","e.1meanamount_zip3",0.196105102218819
"14","e.3medianamount_zip3",0.192384073562661
"15","e.3meanamount_zip3",0.189080107089618
"16","e.7medianamount_cardnum",0.186117497742064
"17","e.3avgdailyfreq_merchnum",0.174690458821735
"18","e.7avgdailyfreq_merchnum",0.172065230196237
"19","e.curdaybal_dow_cardnum",0.170382137797553
"20","e.7meanamount_zip3",0.165256011000455
"21","e.7medianamount_zip3",0.147271599634652
"22","e.7avgdailyfreq_cardnum",0.140790227232223
"23","e.curdaybal_dow_merchnum",0.129905170919743
"24","e.3avgdailyfreq_cardnum",0.125304059169261
"25","e.1countzip3_cardnum",0.124900176934613
"26","e.1avgdailyfreq_merchnum",0.123256541785416
"27","e.1avgdailyfreq_cardnum",0.104175858412286
"28","e.curdaytran_dow_merchnum",0.102903834093027
"29","e.3avgdailyfreq_zip3",0.093687522088508
"30","e.7countzip3_cardnum",0.0884094188041546
"31","e.3countzip3_cardnum",0.0824388785494531
"32","e.curdaytran_dow_cardnum",0.0818575684857025
"33","e.7avgdailyfreq_zip3",0.0787830298712145
"34","e.1avgdailyfreq_zip3",0.0580691892309273
